Date,Day of the week,App (Use all CAPITALS),Minutes,Category
08/31,Thursday,TIKTOK,45,Social Media
08/31,Thursday,SPOTIFY,70,Entertainment
08/31,Thursday,INSTAGRAM,23,Social Media
08/31,Thursday,MESSAGES,19,Social Media
08/31,Thursday,WEVERSE,6,Social Media
9/1/2023,Friday,SPOTIFY,120,Entertainment
9/2/2023,Friday,INSTAGRAM,15,Social Media
9/1/2023,Friday,MESSAGES,20,Social Media
9/1/2023,Friday,TIKTOK,30,Social Media
09/02,Saturday,TIKTOK,109,Social Media
09/02,Saturday,MESSAGES,18,Social Media
09/02,Saturday,PHONE,30,Social Media
09/02,Saturday,INSTAGRAM,26,Social Media
09/03,Sunday,HULU,170,Entertainment
09/03,Sunday,INSTAGRAM,22,Social Media
09/03,Sunday,MESSAGES,17,Social Media
09/03,Sunday,TIKTOK,20,Social Media
09/04,Monday,MAPS,30,Travel
09/04,Monday,SPOTIFY,120,Entertainment
09/04,Monday,TIKTOK,20,Social Media
09/04,Monday,MESSAGES,12,Social Media
09/05,Tuesday,TIKTOK,169,Social Media
09/05,Tuesday,SPOTIFY,80,Entertainment
09/05,Tuesday,CALENDAR,6,Other
09/05,Tuesday,INSTAGRAM,23,Social Media
09/06,Wednesday,TIKTOK,35,Social Media
09/06,Wednesday,INSTAGRAM,15,Social Media
06/06,Wednesday,DISNEY+,85,Entertainment
06/06,Wednesday,MESSAGES,20,Social Media
